Category: All categories

Region,"Football: (3/10/21, 12:53 PM - 3/17/21, 12:53 PM)","American football: (3/10/21, 12:53 PM - 3/17/21, 12:53 PM)"
North Dakota,12%,88%
Alabama,25%,75%
Mississippi,26%,74%
Nebraska,36%,64%
South Dakota,29%,71%
Tennessee,34%,66%
Virginia,46%,54%
South Carolina,37%,63%
Georgia,42%,58%
Iowa,37%,63%
Louisiana,34%,66%
North Carolina,48%,52%
West Virginia,39%,61%
Oklahoma,40%,60%
Maryland,49%,51%
New Jersey,66%,34%
Massachusetts,62%,38%
Ohio,44%,56%
California,68%,32%
Illinois,58%,42%
New York,67%,33%
Oregon,56%,44%
Washington,57%,43%
Delaware,45%,55%
Arkansas,41%,59%
Kansas,47%,53%
Connecticut,63%,37%
District of Columbia,48%,52%
Texas,54%,46%
Utah,50%,50%
Rhode Island,59%,41%
Idaho,47%,53%
Pennsylvania,49%,51%
Montana,35%,65%
Indiana,47%,53%
Nevada,58%,42%
Florida,50%,50%
Michigan,47%,53%
Kentucky,47%,53%
New Mexico,51%,49%
Missouri,53%,47%
Minnesota,44%,56%
Arizona,53%,47%
Colorado,56%,44%
New Hampshire,60%,40%
Wisconsin,50%,50%
Hawaii,46%,54%
Wyoming,47%,53%
Vermont,62%,38%
Maine,53%,47%
Alaska,47%,53%
